id,date,text,clean_text,label,confidence,char_len,word_len
5.4e+17,Tue Dec 02 01:13:03 +0000 2014,Why does @Apple force people to use its VPN built in to iOS8? Off button doesn't work FFS. Like I want Apple's NSA data collection service.,force people use vpn built io button doesnt work ffs like want apple nsa data collection service,negative,1.0,139,17
5.4e+17,Tue Dec 02 01:15:12 +0000 2014,Then how the hell did I take this screenshot? @apple @timcook http://t.co/NvFWwi4JsM,hell take screenshot,negative,0.6398,84,3
5.4e+17,Tue Dec 02 01:17:55 +0000 2014,RT @thehill Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/WY4zI6XQtF,department cite century federal law get unlock iphones,neutral,1.0,109,8
5.4e+17,Tue Dec 02 01:22:40 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.6759,118,9
5.4e+17,Tue Dec 02 01:25:49 +0000 2014,Buy round lot on the open MT @WSJD #AAPL stock briefly dove 6.4% today. Analysts not sure why http://t.co/F6e73eJUJE http://t.co/2qQvMWOotv,buy round lot open aapl stock briefly dove today analyst not sure,negative,0.5327,139,12
5.4e+17,Tue Dec 02 01:36:18 +0000 2014,3G is draining my battery fix this @apple,draining battery fix,negative,1.0,41,3
5.4e+17,Tue Dec 02 01:40:38 +0000 2014,@apple your chargers suck ass! They just love to break!,charger suck as love break,negative,1.0,55,5
5.4e+17,Tue Dec 02 01:44:36 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.6783,118,9
5.4e+17,Tue Dec 02 01:45:03 +0000 2014,"#AAPL:My Three Horsemen Of The NASDAQ 100:  Apple, Microsoft And Gilead Scie...http://t.co/cDvoZfGSBX",aapl three horseman nasdaq apple microsoft gilead scie,neutral,1.0,101,8
5.4e+17,Tue Dec 02 01:47:52 +0000 2014,RT @thehill: Justice Department cites 18th century federal law to get @Apple to unlock iPhones: http://t.co/Eth0QpAIom,justice department cite century federal law get unlock iphones,neutral,0.6604,118,9
5.4e+17,Tue Dec 02 01:49:00 +0000 2014,I'm hoping @apple won't automatically make us download Bruce Springsteen and U2 singing together.  #u2 #bruce #espn #thatwasbad,hoping wont automatically make download bruce springsteen singing together bruce espn thatwasbad,negative,0.7556,127,12
5.4e+17,Tue Dec 02 01:52:00 +0000 2014,@thehill @Apple What a joke! Justice Dept should prosecute Killer Wilson in pursuit of JUSTICE. #Ferguson IS NOT OVER!,joke justice dept prosecute killer wilson pursuit justice ferguson not,negative,0.4791,118,10
5.4e+17,Tue Dec 02 01:52:18 +0000 2014,@aydlettgwyn13 @apple please educate us,please educate,neutral,1.0,39,2
5.4e+17,Tue Dec 02 01:53:41 +0000 2014,RT @TinfoilTricorn: @thehill @Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure,wish could prosecute admin violation privacy criminal search seizure,negative,0.7591,126,9
5.4e+17,Tue Dec 02 01:58:06 +0000 2014,The game #traders play in the name of #market #liquidity #HFT #darkpools #stock #trading #algorithms #AAPL  http://t.co/laKjpr89S8,game trader play name market liquidity hft darkpools stock trading algorithm aapl,neutral,0.6676,130,12
5.4e+17,Tue Dec 02 02:00:04 +0000 2014,#AAPL:10 Steve Jobs emails you need to read...http://t.co/82G1kL94tx,aapl steve job email need read,neutral,1.0,68,6
5.4e+17,Tue Dec 02 02:00:59 +0000 2014,So so sooooo annoyed. Did the restore from my back up and lost my voice mails. I needed to keep those. Thanks a lot @apple,sooooo annoyed restore back lost voice mail needed keep thanks lot,negative,1.0,122,11
5.4e+17,Tue Dec 02 02:03:46 +0000 2014,Thisn#Yosemite update is stressing me out @apple #macbookpro,thisnyosemite update stressing macbookpro,negative,0.7039,60,4
5.4e+17,Tue Dec 02 02:04:40 +0000 2014,Just broke my 3rd charger of the month. Get your shit together @apple,broke charger month get shit together,negative,1.0,69,6
5.4e+17,Tue Dec 02 02:09:56 +0000 2014,"This iPhone 6 battery isn't as good as you claim, @apple",iphone battery isnt good claim,negative,1.0,56,5
5.4e+17,Tue Dec 02 02:10:38 +0000 2014,#Nasdaq big fall. @FB @Baba @Twtr @Linkd @Apple fell 3-6% on Monday! See whether follow up ..,nasdaq big fall fell monday see whether follow,negative,1.0,93,8
5.4e+17,Tue Dec 02 02:14:37 +0000 2014,"#iPhone #users face big change over @Apple [#Apple]'s Google search choice. (#Monday, 1 #December) http://t.co/fA3KKjQQdA",iphone user face big change apple google search choice monday december,neutral,1.0,121,11
5.4e+17,Tue Dec 02 02:14:56 +0000 2014,RT @chanchan1717: @aydlettgwyn13 @apple please educate us,please educate,neutral,0.6908,57,2
5.4e+17,Tue Dec 02 02:16:00 +0000 2014,"Just updated my ram to 16gb. @apple you guys are like shallow gf's. Take all the money, but dammit you look good.",updated ram guy like shallow gfs take money dammit look good,positive,0.6517,113,11
5.4e+17,Tue Dec 02 02:16:19 +0000 2014,@apple @iphone4 oh it's not fair and i think you're really mean,not fair think youre really mean,negative,1.0,63,6
5.4e+17,Tue Dec 02 02:25:30 +0000 2014,#whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,whoknew isnt twitter interestingfact passingthetime,neutral,0.6794,93,5
5.4e+17,Tue Dec 02 02:27:54 +0000 2014,RT @JodiSpicer: #whoknew Why isn't @Apple on Twitter? http://t.co/HmsbwjEL1K #interestingfact #passingthetime,whoknew isnt twitter interestingfact passingthetime,neutral,1.0,109,5
5.4e+17,Tue Dec 02 02:38:28 +0000 2014,IBM: @Apple iOS users account for 21.6% of ALL online sales. 3x @android users (6.6%). They are dominating. #business #sales #cybermonday,ibm io user account online sale user dominating business sale cybermonday,positive,0.7851,137,11
5.4e+17,Tue Dec 02 02:56:02 +0000 2014,I HATE HOW IOS 8 CAPITALIZES RANDOM WORDS LIKE I DONT WANNA GIVE EMPHASIS TO SOME STUPID WORD IN THA SENTENCE GET UR SELF TOGETHER @Apple,hate io capitalizes random word like dont wanna give emphasis stupid word tha sentence get self together,negative,1.0,137,17
5.4e+17,Tue Dec 02 02:56:56 +0000 2014,@gr8american23 i've made clear i support rand paul in 2016 in most cases. why is everyone pigeonholed as red or blue? also u like @apple?,ive made clear support rand paul case everyone pigeonholed red blue also like,neutral,0.6218,137,13
5.4e+17,Tue Dec 02 02:56:57 +0000 2014,@apple why was the iphone 4 ever created,iphone ever created,negative,0.6884,40,3
5.4e+17,Tue Dec 02 03:00:07 +0000 2014,@apple I FUCKING HATE YOU http://t.co/xRxXK0rdot,fucking hate,negative,1.0,48,2
5.4e+17,Tue Dec 02 03:00:29 +0000 2014,@apple please can I have new phone for Christmas? #spreadsomejoy,please new phone christmas spreadsomejoy,positive,0.6573,64,5
5.4e+17,Tue Dec 02 03:01:44 +0000 2014,Perfome @apple pie.. http://t.co/eHsgVdej9N,perfome pie,neutral,0.7279,43,2
5.4e+17,Tue Dec 02 03:05:07 +0000 2014,#Nasdaq100 #recent #market #exit #4: Sold $AAPL long for a 10.49% #gain in 20 days. #AAPL #forex #trading #stocks,nasdaq recent market exit sold aapl long gain day aapl forex trading stock,neutral,0.6734,113,13
5.4e+17,Tue Dec 02 03:05:32 +0000 2014,.@Apple rumoured to be launching a 'Mega Tab' because #biggerisbetter http://t.co/UreeAozPaI,rumoured launching mega tab biggerisbetter,neutral,0.6442,92,5
5.4e+17,Tue Dec 02 03:09:32 +0000 2014,"Apple Inc. PT Upped By Barclays, Morgan Stanley Trims Stake http://t.co/jgysEmQXBl #AAPL",apple inc upped barclays morgan stanley trim stake aapl,neutral,0.6635,88,9
5.4e+17,Tue Dec 02 03:09:39 +0000 2014,IT'S NOT LIKE THE APP COSTS MONEY JUST LET ME DOWNLOAD IT @APPLE,not like app cost money let download,negative,1.0,64,7
5.4e+17,Tue Dec 02 03:13:14 +0000 2014,"RT @HamzeiAnalytics: New HA Blog Post &gt;&gt;&gt; Final #AAPL #PutCallRatios for Monday, December 1, 2014:  http://t.co/FO160NRHfF",new blog post final aapl putcallratios monday december,neutral,0.7287,131,8
5.4e+17,Tue Dec 02 03:15:03 +0000 2014,#AAPL:Jim Cramer's 4 Best Stock Picks for the Health Care Sector...http://t.co/CaQgzX0KiJ,aapl jim cramers best stock pick health care sector,neutral,0.7079,89,9
5.4e+17,Tue Dec 02 03:28:00 +0000 2014,My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,phone charging hour keep losing percentage get shit together,negative,1.0,96,9
5.4e+17,Tue Dec 02 03:30:02 +0000 2014,"Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",steve job clave juicio contra,neutral,1.0,89,5
5.4e+17,Tue Dec 02 03:31:46 +0000 2014,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",steve job clave juicio contra,neutral,1.0,108,5
5.4e+17,Tue Dec 02 03:42:08 +0000 2014,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",steve job clave juicio contra,neutral,1.0,108,5
5.4e+17,Tue Dec 02 03:49:22 +0000 2014,My laptop was completely dead and blacked out for 2 days &amp; I finally opened the inside and fixed it. Hire me @Apple,laptop completely dead blacked day finally opened inside fixed hire,neutral,0.6624,119,10
5.4e+17,Tue Dec 02 03:49:34 +0000 2014,@baseballbridget @apple we couldn't even get a turkey for TDay so they just don't care... #appleemojissuck,couldnt even get turkey tday dont care appleemojissuck,negative,1.0,106,8
5.4e+17,Tue Dec 02 03:52:46 +0000 2014,"RT @elnuevoherald: Steve Jobs, clave en juicio contra @Apple 
http://t.co/IcEOFgkm1q http://t.co/eDiR5Mahxn",steve job clave juicio contra,neutral,1.0,108,5
5.4e+17,Tue Dec 02 03:52:58 +0000 2014,RT @toricolelli: My phones been charging for an hour but it keeps losing percentage?? Get ur shit together @apple,phone charging hour keep losing percentage get shit together,negative,1.0,113,9
5.4e+17,Tue Dec 02 03:57:07 +0000 2014,"#Apple (NASDAQ: #AAPL) Participates in World Aids Day Campaign: http://t.co/YytgUGXQNB: #Apple, #AAPL, Campaign... http://t.co/XT3Z1sx0P4",apple nasdaq aapl participates world aid day campaign apple aapl campaign,neutral,0.7053,137,11
5.4e+17,Tue Dec 02 03:58:50 +0000 2014,Well played @apple http://t.co/mGbsxyiA69,well played,positive,1.0,41,2
5.4e+17,Tue Dec 02 04:00:59 +0000 2014,Thank you @Apple,thank,positive,1.0,16,1
5.4e+17,Tue Dec 02 04:07:57 +0000 2014,Fix it @apple http://t.co/cHoq6LHeHo,fix,negative,0.6894,36,1
5.4e+17,Tue Dec 02 04:08:21 +0000 2014,RT @_iamGambino: Thank you @Apple,thank,positive,1.0,33,1
5.4e+17,Tue Dec 02 04:09:46 +0000 2014,How long does it really take for a phone to ship @apple smh,long really take phone ship smh,negative,1.0,59,6
5.4e+17,Tue Dec 02 04:11:56 +0000 2014,@Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,ipod lawsuit reveal unseen steve job video,neutral,1.0,79,7
5.4e+17,Tue Dec 02 04:12:53 +0000 2014,RT @smartoutsource1: @Apple #iPod lawsuit will reveal unseen Steve Jobs video http://t.co/nEF5qOGbHE,ipod lawsuit reveal unseen steve job video,neutral,1.0,100,7
5.4e+17,Tue Dec 02 04:21:29 +0000 2014,Lol dying @apple http://t.co/EP8hQb2O2H,lol dying,neutral,1.0,39,2
5.4e+17,Tue Dec 02 04:24:00 +0000 2014,"So, on my iphone5, the @apple health kit is no longer gathering data.  Sigh.",iphone health kit longer gathering data sigh,negative,1.0,76,7
5.4e+17,Tue Dec 02 04:30:03 +0000 2014,"Trade $AAPL #FREE Nightly Updates are #posted here on #Twitter, or you can visit the #Trade #AAPL FREE #website here http://t.co/U4TKeApbxF",trade aapl free nightly update posted twitter visit trade aapl free website,neutral,0.6806,139,12
5.4e+17,Tue Dec 02 04:30:31 +0000 2014,Thanks @apple for changing yet another fuck into duck...Thanks.,thanks changing yet another fuck duck thanks,negative,0.6864,63,7
5.4e+17,Tue Dec 02 04:33:28 +0000 2014,@Apple YH News Apple tumbles as much as 6 percent in unusual trading: By Chuck Mikolajczak NEW YORK (Reuters) ...  http://t.co/hNuWafq0sI,news apple tumble much percent unusual trading chuck mikolajczak new york reuters,negative,0.5339,137,12
5.4e+17,Tue Dec 02 04:34:05 +0000 2014,@brwnskin_beauti cause fuck @apple,cause fuck,negative,1.0,34,2
5.4e+17,Tue Dec 02 04:35:14 +0000 2014,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,brass band store broadway winterseve nyc,neutral,1.0,89,6
5.4e+17,Tue Dec 02 04:36:38 +0000 2014,if i buy a 16 gb phone i should have 16 GB'S TO USE @apple,buy phone gb use,negative,1.0,58,4
5.4e+17,Tue Dec 02 04:37:44 +0000 2014,fuck you for BREAKING MY MUSIC @apple,fuck breaking music,negative,1.0,37,3
5.4e+17,Tue Dec 02 04:38:57 +0000 2014,RT @donacamp: Brass band at @Apple Store Broadway #WintersEve #NYC http://t.co/ufworZjgpP,brass band store broadway winterseve nyc,neutral,1.0,89,6
